Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,cls_0,cls_1,cls_2,cls_3,cls_4,cls_5,cls_6,cls_7,cls_8,cls_9,cls_10,cls_11,cls_12,cls_13,cls_14,cls_15,step_emb_0,step_emb_1,mask_Loan_Institution_Past6M,mask_Overdue_Num_Past6M,mask_Overdue_Day_Past6M,mask_Overdue_Day_Max_Past6M,mask_CA_Institution_Past6M,mask_CA_Institution_Max_Past6M,mask_CA_UseAmount_Past6M,mask_Card_UseAmount_Past6M,mask_Age,mask_Gender,prediction_entropy,Long_Overdue
0.0,0.0,0.0,0.0,0.0,0.0,37171.0,44120.0,65.0,1.0,-0.5675854086875916,-1.3825585842132568,0.927510142326355,0.7065118551254272,-1.5484395027160645,0.06640274822711945,0.3221682012081146,-2.3860347270965576,1.1543385982513428,-0.13660076260566711,0.7443104386329651,0.09813689440488815,-0.4704827070236206,0.713857114315033,0.7899960875511169,0.9684697985649109,2.5161056518554688,-0.06867831945419312,0.2908073663711548,0.0,2.9869298934936523,0.3533717393875122,0.6570818424224854,0.0,0.1649291068315506,0.0,0.2916646897792816,0.0,-1.6091163677234768,0
0.0,0.0,0.0,0.0,2.0,0.0,2600.0,11820.0,54.0,1.0,1.093244194984436,-0.5033563375473022,0.7883493900299072,-1.227286458015442,-1.3837279081344604,-0.6290693879127502,0.1445838212966919,-1.0870287418365479,1.0664474964141846,-1.2450203895568848,-0.32903698086738586,1.9588788747787476,-0.32855525612831116,0.14761030673980713,1.4639360904693604,0.07003136724233627,3.993793487548828,-0.4485129714012146,0.9599456787109375,3.197603225708008,0.0,0.27782055735588074,0.0,0.8317431211471558,2.2493345737457275,0.0,0.08041869848966599,0.0,-4.789289348211795,0
2.0,0.0,0.0,0.0,0.0,0.0,56000.0,19808.0,65.0,1.0,-1.3784369230270386,-1.3915396928787231,0.5411856770515442,1.6472370624542236,-0.5615077614784241,0.9727518558502197,0.2802763879299164,-1.787076473236084,0.7759220004081726,0.46886032819747925,1.0972691774368286,-0.9420969486236572,-0.9630460739135742,0.6113851070404053,-0.010391493327915668,0.6392078995704651,2.6821460723876953,0.0019049081020057201,0.40639492869377136,0.0,2.9869298934936523,0.44551292061805725,0.47515320777893066,0.0,0.2449886053800583,0.0,0.4074942469596863,0.0,-1.4783196529824845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30197.0,42.0,1.0,1.1484981775283813,-0.48398956656455994,0.7089164853096008,-1.3468888998031616,-1.3260776996612549,-0.6347178220748901,0.09448406845331192,-0.8272275924682617,1.0697505474090576,-1.1830679178237915,-0.44460928440093994,2.000342607498169,-0.4099251329898834,0.008115130476653576,1.5348477363586426,0.09154973179101944,3.862752676010132,-0.42759498953819275,0.8758716583251953,3.197603225708008,0.0,0.46271491050720215,0.0,1.1234829425811768,1.6580098867416382,0.0,0.08414838463068008,0.0,-4.0050751094451575,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18855.0,62.0,2.0,1.1555756330490112,-0.4641527533531189,0.7379387617111206,-1.3621139526367188,-1.3285294771194458,-0.6470128297805786,0.09278114140033722,-0.8192302584648132,1.0768234729766846,-1.1483781337738037,-0.4797060191631317,2.0071418285369873,-0.3931587338447571,-0.046581413596868515,1.5100350379943848,0.10856761783361435,4.027611255645752,-0.39946404099464417,0.7756096720695496,3.197603225708008,0.0,0.272124707698822,0.0,1.392206072807312,2.0822606086730957,0.0,0.05269194766879082,0.0,-4.998464352666419,0
0.0,0.0,0.0,0.0,0.0,0.0,9490.0,8440.0,51.0,1.0,-0.9639468193054199,-1.4588050842285156,0.8023932576179504,1.0866870880126953,-1.2671681642532349,0.4347332715988159,0.3270045518875122,-2.2440714836120605,1.0006355047225952,0.06329260766506195,0.932449996471405,-0.2732086181640625,-0.6690604090690613,0.676244854927063,0.5310882925987244,1.0217310190200806,3.0920093059539795,-0.36437663435935974,0.6190869808197021,2.1459169387817383,1.0155327320098877,0.44420570135116577,0.0,0.38159656524658203,0.988483726978302,0.0,0.2353217601776123,0.0,-0.2773469720021596,0
1.0,0.0,0.0,0.0,1.0,0.0,7500.0,7265.0,62.0,2.0,-0.8625794649124146,-1.452207088470459,0.8416026830673218,0.9782848954200745,-1.3477931022644043,0.336559921503067,0.3242260217666626,-2.295471668243408,1.034253716468811,0.004121112171560526,0.8627496361732483,-0.1543818861246109,-0.6160311102867126,0.6542019844055176,0.622769832611084,1.0696943998336792,3.5298492908477783,-0.3489932119846344,0.5438527464866638,3.053215742111206,0.0,0.8002942800521851,0.0,0.12583836913108826,1.4816722869873047,0.0,0.10445117205381393,0.0,-2.9842109139434587,0
1.0,0.0,0.0,0.0,3.0,2.0,16850.0,13613.0,57.0,2.0,-1.026856780052185,-1.4375792741775513,0.8087695240974426,1.153839111328125,-1.1990492343902588,0.4635891318321228,0.34392049908638,-2.240830898284912,0.9832123517990112,0.15905548632144928,0.9584563374519348,-0.3425757586956024,-0.6888587474822998,0.6473665833473206,0.413163423538208,1.0043777227401733,1.9559829235076904,0.08855833113193512,0.1442679464817047,0.0,2.9869298934936523,0.1753057837486267,0.0,0.0,0.08182042837142944,0.009934949688613415,0.1446932554244995,0.7241315245628357,-1.9197938357028754,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,24647.0,45.0,1.0,1.1526345014572144,-0.49990135431289673,0.7007244825363159,-1.3424373865127563,-1.3339775800704956,-0.634723424911499,0.0948338434100151,-0.8135954141616821,1.0743716955184937,-1.1707090139389038,-0.46046456694602966,1.9887906312942505,-0.4063040316104889,-0.0034557823091745377,1.5514954328536987,0.10271790623664856,3.4136722087860107,-0.3609798550605774,0.3030807375907898,3.1240739822387695,0.0,1.2103599309921265,0.0,0.0,1.18568754196167,0.0,0.1569402515888214,0.0,-3.339339419635954,0
0.0,0.0,0.0,0.0,0.0,0.0,3780.0,32730.0,61.0,2.0,1.1170610189437866,-0.4659598767757416,0.7782112956047058,-1.2827467918395996,-1.3531832695007324,-0.6773489117622375,0.1097341999411583,-1.021236538887024,1.0970852375030518,-1.2294751405715942,-0.3094700276851654,1.9727332592010498,-0.3350350856781006,0.13797922432422638,1.4508373737335205,0.010813739150762558,3.8695430755615234,-0.42099398374557495,0.7753417491912842,3.197603225708008,0.0,0.27203068137168884,0.0,1.1372551918029785,1.8396735191345215,0.0,0.052673742175102234,0.0,-4.278133345013775,0
