Loan_Institution_Past6M,Overdue_Num_Past6M,Overdue_Day_Past6M,Overdue_Day_Max_Past6M,CA_Institution_Past6M,CA_Institution_Max_Past6M,CA_UseAmount_Past6M,Card_UseAmount_Past6M,Age,Gender,Target,Long_Overdue
0,0,0,0,3,3,22800,6937,47,1,3,1
1,0,0,0,0,0,800,5735,47,1,1,1
1,0,0,0,0,0,11100,15932,47,2,1,1
0,0,0,0,0,0,500,2725,47,1,0,0
1,0,0,0,0,0,2400,4429,47,1,0,0
1,1,24,0,0,0,1040,4195,48,1,1,1
0,5,81,0,2,2,1800,1665,48,2,1,1
1,0,0,0,0,0,36630,7560,48,1,2,1
2,0,0,0,0,0,300,39675,48,2,1,1
0,0,0,0,0,0,5150,31338,48,1,0,0
0,0,0,0,0,0,3410,37524,48,1,0,0
0,0,0,0,0,0,3760,13728,48,1,1,1
1,5,41,0,3,3,24800,35956,48,1,1,1
1,0,0,0,1,1,24700,31150,48,1,1,1
0,0,0,0,0,0,25620,15664,48,2,1,1
2,0,0,0,0,0,0,4023,48,2,3,1
2,2,22,0,0,0,0,18120,48,2,2,1
1,0,0,0,1,0,270,4589,48,1,1,1
2,0,0,0,0,0,0,4983,48,1,1,1
2,0,0,0,0,0,5860,7385,48,1,1,1
2,0,0,0,0,0,0,23512,48,2,1,1
0,0,0,0,0,0,33770,4331,48,1,1,1
0,0,0,0,0,0,33770,5421,48,1,1,1
0,0,0,0,0,0,2000,5201,48,1,1,1
2,0,0,0,0,0,8300,7952,48,1,1,1
1,0,0,0,0,0,9300,14665,48,1,1,1
1,9,133,0,0,0,24999,9679,48,2,1,1
1,10,482,67,2,2,5930,1536,48,2,1,1
1,3,21,0,0,0,500,14155,48,2,0,0
1,0,0,0,4,4,9450,19387,48,2,2,1
0,0,0,0,4,4,9450,16219,48,2,2,1
1,4,45,1,0,0,11000,27327,48,1,1,1
0,0,0,0,0,0,0,1314,49,1,2,1
1,1,7,0,0,0,3700,13964,49,1,1,1
1,1,7,0,3,3,7500,11759,49,1,1,1
2,0,0,0,0,0,24740,8168,49,2,0,0
0,1,28,0,0,0,0,986,49,1,1,1
1,0,0,0,0,0,0,1218,49,1,1,1
1,1,28,0,0,0,0,1030,49,1,1,1
1,1,28,0,0,0,0,1159,49,1,1,1
1,0,0,0,1,1,8640,13657,49,2,1,1
0,1,11,11,1,1,22400,31482,49,1,0,0
1,0,0,0,0,0,11980,41309,49,1,0,0
2,0,0,0,0,0,23860,14987,49,2,1,1
0,0,0,0,0,0,15200,10599,49,1,1,1
3,0,0,0,0,0,2770,17546,49,1,1,1
3,0,0,0,0,0,3770,17725,49,1,1,1
3,0,0,0,0,0,2770,17513,49,1,1,1
3,0,0,0,0,0,6170,16445,49,1,1,1
0,0,0,0,1,1,8490,12935,49,1,1,1
1,0,0,0,1,1,2400,661,49,1,1,1
0,0,0,0,0,0,0,5111,49,1,1,1
1,0,0,0,0,0,0,7410,49,1,1,1
1,2,37,0,1,1,100,8468,49,1,1,1
2,1,29,1,0,0,0,0,49,1,1,1
8,0,0,0,0,0,5200,44562,49,1,1,1
2,0,0,0,0,0,0,10931,50,2,1,1
2,0,0,0,0,0,710,6035,50,2,1,1
0,0,0,0,0,0,0,16235,50,2,1,1
0,0,0,0,0,0,0,14847,50,2,1,1
1,1,8,0,0,0,0,13193,50,2,1,1
1,0,0,0,0,0,11200,40415,50,1,1,1
0,7,144,0,0,0,0,2399,50,2,1,1
0,0,0,0,0,0,25580,38105,50,1,1,1
0,4,56,0,1,1,7510,5761,50,1,1,1
0,0,0,0,0,0,3730,4563,50,1,1,1
1,0,0,0,0,0,500,57663,50,2,0,0
2,1,7,0,0,0,0,8830,50,2,1,1
3,0,0,0,0,0,2990,14042,50,1,1,1
2,0,0,0,0,0,6900,37222,50,2,1,1
2,4,42,0,0,0,6120,14281,50,1,1,1
0,22,277,0,1,1,4690,10969,50,1,1,1
0,0,0,0,0,0,0,0,50,1,1,1
1,2,24,0,0,0,49600,16357,50,1,1,1
2,0,0,0,1,0,1400,20830,51,2,1,1
2,0,0,0,1,1,15750,35505,51,1,1,1
0,10,130,0,3,3,8000,24313,51,1,0,0
0,0,0,0,0,0,4870,3811,51,1,0,0
0,0,0,0,0,0,5270,3925,51,1,0,0
0,2,16,0,1,1,300,1659,51,1,0,0
2,0,0,0,2,2,3090,6853,51,1,0,0
6,0,0,0,1,1,28300,5578,51,1,1,1
0,0,0,0,0,0,24320,11449,51,2,1,1
0,0,0,0,0,0,28500,10660,51,2,1,1
1,3,154,0,4,4,15000,6422,51,2,1,1
0,0,0,0,1,1,100,9466,51,1,1,1
1,2,114,0,1,1,100,4448,51,1,1,1
